Time,break,Start/Stop,TimeStamp,break,Left,break,Right,Duration
,,,12:40:15,,  43.78,,  57.37,3.094
,,,12:40:16,,  44.75,,  54.56,4.107
,,,12:40:17,,  45.65,,  52.52,5.104
,,,12:40:18,,  46.06,,  51.99,6.101
,,,12:40:19,,  47.05,,  53.15,7.099
,,,12:40:20,,  55.86,,  44.09,8.104
,,,12:40:21,,  56.05,,  41.74,9.093
12:40:21,*****,Sensor Made,*****
12:40:22,*****,Sensor Broken,*****
,,,12:40:22,,  53.98,,  50.95,0.032
,,,12:40:23,,  54.07,,  50.41,1.093
,,,12:40:24,,  48.89,,  55.10,2.106
,,,12:40:25,,  47.40,,  55.44,3.079
,,,12:40:26,,  45.53,,  57.70,4.1
,,,12:40:28,,  51.01,,  52.62,5.113
,,,12:40:28,,  56.19,,  46.43,6.078
12:40:29,*****,Sensor Made,*****
12:40:33,*****,Sensor Broken,*****
,,,12:40:33,,  49.57,,  51.57,0.047
,,,12:40:34,,  50.75,,  50.46,1.103
,,,12:40:35,,  56.18,,  45.56,2.107
,,,12:40:36,,  60.27,,  41.55,3.103
,,,12:40:37,,  53.94,,  45.88,4.1
,,,12:40:38,,  41.37,,  55.42,5.112
12:40:38,*****,Sensor Made,*****
12:40:39,*****,Sensor Broken,*****
,,,12:40:39,,  48.85,,  51.42,0.048
,,,12:40:40,,  56.28,,  40.80,1.103
,,,12:40:41,,  50.85,,  48.85,2.105
12:40:41,*****,Sensor Made,*****
12:40:43,*****,Sensor Broken,*****
,,,12:40:43,,  72.77,,  27.15,0.032
,,,12:40:44,,  64.51,,  37.08,1.125
12:40:44,*****,Sensor Made,*****
12:40:44,*****,Sensor Broken,*****
,,,12:40:44,,  64.51,,  37.08,0.016
,,,12:40:44,,  64.51,,  37.08,0.032
,,,12:40:45,,  46.84,,  56.90,1.085
,,,12:40:46,,  53.16,,  50.40,2.098
12:40:46,*****,Sensor Made,*****
12:40:46,*****,Sensor Broken,*****
12:40:46,*****,Sensor Made,*****
12:40:46,*****,Sensor Broken,*****
,,,12:40:47,,  55.05,,  47.99,0.049
12:40:47,*****,Sensor Made,*****
12:40:47,*****,Sensor Broken,*****
,,,12:40:47,,  55.05,,  47.99,0.049
